Fiscal Year,Average Participation (Thousands)
1969,2878
1970,4340
1971,9368
1972,11109
1973,12166
1974,12862
1975,17064
1976,18549
1977,17077
1978,16001
1979,17653
1980,21082
1981,22430
1982,21717
1983,21625
1984,20854
1985,19899
1986,19429
1987,19113
1988,18645
1989,18806
1990,20049
1991,22625
1992,25407
1993,26987
1994,27474
1995,26619
1996,25543
1997,22858
1998,19791
1999,18183
2000,17194
2001,17318
2002,19096
2003,21250
2004,23811
2005,25628
2006,26549
2007,26316
2008,28223
2009,33490
2010,40302
2011,44709
2012,46609
2013,47636
2014,46664
2015,45767
2016,44220
2017,42317
2018,40776
2019,35702
2020,39853
2021,41549
2022,41207
